user_id,movie_id,rating
potatonator,fight-club,5.0
potatonator,the-rat-catcher-2023,3.0
potatonator,kung-fu-panda-4,1.5
potatonator,the-grand-budapest-hotel,4.5
potatonator,paperman,4.0
potatonator,the-swan-2023,4.0
potatonator,spider-man-into-the-spider-verse,5.0
potatonator,the-french-dispatch,4.0
potatonator,the-kissing-booth,1.0
potatonator,whisper-of-the-heart,4.5
potatonator,sing-street,5.0
potatonator,how-to-train-your-dragon,5.0
potatonator,kung-fu-panda-3,3.0
potatonator,dead-poets-society,5.0
potatonator,3-idiots,4.5
potatonator,godzilla-minus-one,5.0
potatonator,moana-2016,3.5
potatonator,monkey-man,3.5
potatonator,nothing-except-everything,4.5
potatonator,gladiator-2000,4.0
potatonator,princess-mononoke,4.5
potatonator,the-social-network,3.5
potatonator,a-beautiful-mind,2.0
potatonator,interstellar,4.0
potatonator,the-wind-rises,5.0
potatonator,lady-bird,4.5
potatonator,the-shawshank-redemption,4.5
potatonator,submarine,4.0
potatonator,la-la-land,4.5
potatonator,a-minecraft-movie,3.0
potatonator,the-boy-and-the-heron,4.5
potatonator,scott-pilgrim-vs-the-world,3.5
potatonator,ted,2.5
potatonator,the-matrix,4.0
potatonator,brexit-the-uncivil-war,3.5
potatonator,good-will-hunting,4.0
potatonator,napoleon-dynamite,3.0
potatonator,kung-fu-panda-2,4.0
potatonator,kikis-delivery-service,4.5
potatonator,kabir-singh,0.5
potatonator,spider-man-across-the-spider-verse,4.5
potatonator,godzilla-kong-the-new-empire,1.0
potatonator,coco-2017,4.0
potatonator,grave-of-the-fireflies,4.5
potatonator,encanto,4.0
potatonator,the-wonderful-story-of-henry-sugar,4.0
potatonator,whiplash-2014,4.5
potatonator,barbie,3.0
potatonator,thunderbolts,3.0
potatonator,the-prince-of-egypt,4.5
potatonator,poison-2023,4.0
potatonator,dune-part-two,4.5
potatonator,wonka,3.0
potatonator,i-think-im-sick,3.5
potatonator,kung-fu-panda,4.0
potatonator,doodlebug,2.0
potatonator,deadpool-wolverine,3.5
infernalking,pirates-of-the-caribbean-at-worlds-end,5.0
infernalking,back-to-the-future-part-ii,5.0
infernalking,unbreakable,5.0
infernalking,psycho,5.0
infernalking,bram-stokers-dracula,5.0
infernalking,starship-troopers,5.0
infernalking,speed-racer,5.0
infernalking,jurassic-park,5.0
infernalking,once-upon-a-time-in-the-west,5.0
infernalking,rear-window,5.0
infernalking,alien-3,5.0
infernalking,the-red-shoes,5.0
infernalking,alien,5.0
infernalking,aliens,5.0
infernalking,the-lone-ranger,5.0
infernalking,clue,5.0
infernalking,pirates-of-the-caribbean-the-curse-of-the-black-pearl,5.0
infernalking,vertigo,5.0
infernalking,rango,5.0
infernalking,indiana-jones-and-the-temple-of-doom,5.0
infernalking,batman-returns,5.0
infernalking,castle-in-the-sky,5.0
infernalking,godzilla,5.0
infernalking,predator,5.0
infernalking,back-to-the-future,5.0
infernalking,north-by-northwest,5.0
infernalking,cleopatra-1963,5.0
infernalking,sleeping-beauty,5.0
infernalking,pirates-of-the-caribbean-dead-mans-chest,5.0
infernalking,kwaidan,5.0
infernalking,alien-resurrection,5.0
infernalking,the-big-lebowski,5.0
infernalking,jfk,5.0
infernalking,resident-evil-retribution,5.0
infernalking,back-to-the-future-part-iii,5.0
infernalking,godzilla-minus-one,5.0
infernalking,john-wick,5.0
infernalking,star-wars-episode-iii-revenge-of-the-sith,5.0
infernalking,hannibal,5.0
infernalking,redline,5.0
infernalking,die-hard,5.0
fooie,gantz-o,4.5
fooie,gullivers-travels-2010,2.0
fooie,perfect-days-2023,5.0
fooie,the-dilemma,2.5
fooie,a-complete-unknown,3.5
fooie,yu-yu-hakusho,3.5
fooie,focus-2015,3.5
fooie,the-kings-speech,4.0
fooie,premonition-2007,3.0
fooie,black-mirror-demon-79,3.5
fooie,green-lantern,3.5
fooie,jurassic-world,3.5
